name_ko,name_en,url
국제대학교,Kookje University,https://kookje.ac.kr
국제사이버대학교,Gukje Cyber University,https://www.gjcu.ac.kr/
국제사이버대학교,International Cyber University,https://www.icu.ac.kr/
국제신학대학원대학교,Kukje Theological University,https://www.kits.ac.kr/
국제암대학원대학교,National Cancer Center Graduate School of Cancer Science and Policy,https://ncc.re.kr
국제어학대학원대학교,International Graduate School of Language Education,https://igse.ac.kr
군산간호대학교,Kunsan Nursing College,https://ipsi.kcn.ac.kr/
군산대학교,Kunsan National University,https://www.kunsan.ac.kr/inter/index.kunsan?menuCd=DOM_000013303001000000
군장대학교,Kunjang University College,https://enter.kunjang.ac.kr/
극동대학교,Far East University,https://ipsi.kdu.ac.kr/
글로벌사이버대학교,Global Cyber University,https://go.global.ac.kr/
금강대학교,Geumgang University,https://www.ggu.ac.kr/matriculation
기독간호대학교,Christian College of Nursing,https://www.ccn.ac.kr/Admission/
김천대학교,Gimcheon University,https://ibhak.gimcheon.ac.kr/
김포대학교,Gimpo University,https://info.kimpo.ac.kr/EnterLogin.aspx
김해대학교,Gimhae College,https://ipsi.gimhae.ac.kr/
나사렛대학교,Korea Nazarene University,https://ipsi.kornu.ac.kr/ipsi/index.do
남부대학교,Nambu University,https://ipsi.nambu.ac.kr/
남서울대학교,Namseoul University,https://www.nsu.ac.kr/
농협대학교,Agricultural Cooperative University,https://nonghyup.ac.kr
단국대학교,Dankook University,https://www.dankook.ac.kr/web/kor/-329
대경대학교,Daekyeung University,https://tk.ac.kr
대구가톨릭대학교,Daegu Catholic University,https://ibsi.cu.ac.kr/intro.html
대구경북과학기술원,Daegu Gyeongbuk Institute of Science and Technology (DGIST),https://www.dgist.ac.kr/gadm/
대구공업대학교,Daegu Technical University,https://entr.ttc.ac.kr/
대구과학대학교,Taegu Science University,https://tsu.ac.kr
대구교육대학교,Daegu National University of Education,https://admission.dnue.ac.kr/ipsi/Main.do
대구대학교,Daegu University,https://ipsi.daegu.ac.kr/kor/29/pdfViewer/CAT077
대구보건대학교,Daegu Health College,https://apply.dhc.ac.kr/main
대구사이버대학교,Daegu Cyber University,https://enter.dcu.ac.kr/
대구예술대학교,Daegu Arts University,https://ipsi.dgau.ac.kr/
대구한의대학교,Daegu Haany University,https://dhu.ac.kr
대덕대학교,Daeduk University,https://ipsi.ddu.ac.kr/index.do
대동대학교,Daedong University,https://ipsi.daedong.ac.kr/main.do
대림대학교,Daelim University,https://www.daelim.ac.kr/ent/index.do
대신대학교,Daeshin University,https://www.daeshin.ac.kr/html/02_admission/01_4.php
대원대학교,Daewon University College,https://www.daewon.ac.kr/mbs/ipsi/
대전가톨릭대학교,Catholic University of Daejeon,https://dcatholic.ac.kr
대전과학기술대학교,Daejeon Institute of Science and Technology,https://dst.ac.kr
대전대학교,Daejeon University,https://www.dju.ac.kr/intro/global/cntnts.html?mi=7425
대전보건대학교,Daejeon Health Sciences College,https://www.hit.ac.kr/
대전신학대학교,Daejeon Theological University,https://djtu.ac.kr
대진대학교,Daejin University,https://admission.daejin.ac.kr/main.do
대한신학대학원대학교,Daehan Theological Graduate University,https://daehanshin.ac.kr
덕성여자대학교,Duksung Women's University,https://enter.duksung.ac.kr/sub/?m_type=JEOEGUK
동강대학교,Donggang University,https://ipsi.dkc.ac.kr/
동국대학교,Dongguk University,https://ipsi.dongguk.edu/admission/html/abroad/guide.asp
동국대학교 WISE캠퍼스,Dongguk University (WISE/Gyeongju Campus),https://ipsi.dongguk.ac.kr/
동남보건대학교,Dongnam Health University,https://ipsi.dongnam.ac.kr/
동덕여자대학교,Dongduk Women's University,https://ipsi.dongduk.ac.kr/
동명대학교,Tongmyong University,https://www.tu.ac.kr/iphak/sub01_01.do
동방문화대학원대학교,Dongbang Culture Graduate University,https://dongbang.ac.kr
동부산대학교,Dong-Busan College,https://www.dpc.ac.kr/
동서대학교,Dongseo University,https://ipsi.dongseo.ac.kr/
동서울대학교,Dong Seoul University,https://www.dsu.ac.kr/
동신대학교,Dongshin University,https://dsu.ac.kr
동아대학교,Dong-A University,https://ent.donga.ac.kr/
동아방송예술대학교,Dong-ah Institute of Media and Arts,https://ipsi.dima.ac.kr/
동아보건대학교,Donga College of Health,https://dhc.ac.kr
동양대학교,Dongyang University,https://ipsi.dyu.ac.kr/
동양미래대학교,Dongyang Mirae University,https://ipsi.dongyang.ac.kr/dongyang_ipsi/index.do
동원대학교,Dongwon Institute of Science & Technology,https://www.dist.ac.kr/
동원대학교,Tongwon University,https://www.tw.ac.kr/
동의과학대학교,Dong-eui Institute of Technology,https://www.dit.ac.kr/ipsi/
동의대학교,Dong-eui University,https://ipsi.deu.ac.kr/main.do
동주대학교,Dongju College,https://ipsi.dongju.ac.kr/ipsi
두원공과대학교,Doowon Technical University,https://entrance.doowon.ac.kr/main.do
디지털서울문화예술대학교,Digital Seoul Culture & Arts University,https://ipsi.scau.ac.kr/Default.aspx
루터대학교,Luther University,https://admission.ltu.ac.kr/
마산대학교,Masan University,https://info.masan.ac.kr/
명지대학교,Myongji University,https://iphak.mju.ac.kr/main/index.php
명지전문대학,Myongji College,https://ipsi.mjc.ac.kr/mjcIndex.do
목원대학교,Mokwon University,https://enter.mokwon.ac.kr/
목포가톨릭대학교,Mokpo Catholic University,https://www.mcu.ac.kr/ipsi/co/contentsView.php?pageID=ipsi0203000000
목포과학대학교,Mokpo Science University,https://www.msu.ac.kr/
목포대학교,Mokpo National University,https://ipsi.mokpo.ac.kr/
목포해양대학교,Mokpo National Maritime University,https://www.mmu.ac.kr/admission/
문경대학교,Munkyung College,https://www.mkc.ac.kr/
배재대학교,Pai Chai University,https://enter.pcu.ac.kr/
배화여자대학교,Baewha Women's University,https://baewha.ac.kr
백석대학교,Baekseok University,https://ipsi.bu.ac.kr/
백석문화대학교,Baekseok Culture University,https://ipsi.bscu.ac.kr/ipsi/index.do
백석예술대학교,Baekseok Arts University,https://bau.ac.kr
백제예술대학교,Paekche Institute of the Arts,https://www.paekche.ac.kr/ict/ipsi_new/
베뢰아국제대학원대학교,Berea International Theological Graduate University,https://berea.ac.kr
벽성대학교,Byeokseong College,https://www.bs.ac.kr/
부경대학교,Pukyong National University,https://iphak.pknu.ac.kr/pknu/index.htm
부산가톨릭대학교,Catholic University of Pusan,https://cup.ac.kr
부산경상대학교,Busan Kyungsang University,https://www.bsks.ac.kr/
